Code obligation,Nom,Date émission,Date maturité,Cours du jour en valeur,Coupon Couru,Dernier paiement (Date/Valeur du coupon),Organization,start,end,interest,last_payment_date,last_payment_value
TPBF.O5,"ETAT DU BURKINA 6,50% 2017-2024",29/03/2018,,10 000,30000,"29/12/2022 / 325,00",ETAT DU BURKINA,2017,2024,6.50,29/12/2022,/
TPBF.O6,"ETAT DU BURKINA 6,50% 2018-2025",06/09/2018,,10 500,34192,"05/12/2022 / 324,11",ETAT DU BURKINA,2018,2025,6.50,05/12/2022,/
TPBF.O7,"ETAT DU BURKINA 6,50% 2018-2025",01/02/2019,,9 900,5476,"15/05/2023 / 325,00",ETAT DU BURKINA,2018,2025,6.50,15/05/2023,/
TPBF.O8,"ETAT DU BURKINA 6,50% 2019-2027",08/08/2019,,10 000,7123,"06/05/2023 / 327,67",ETAT DU BURKINA,2019,2027,6.50,06/05/2023,/
TPBF.O9,"ETAT DU BURKINA 6,50% 2019-2027",09/12/2019,,10 000,12077,"08/04/2023 / 325,00",ETAT DU BURKINA,2019,2027,6.50,08/04/2023,/
TPBJ.O1,"TPBJ 6,50 % 2017-2027",20/07/2017,,10 500,42027,"07/04/2021 / 650,00","TPBJ 6,50",2017,2027,,07/04/2021,/
TPBJ.O2,"TPBJ 6,50% 2018-2025",25/10/2018,,10 500,32500,"29/05/2021 / 325,00",TPBJ,2018,2025,6.50,29/05/2021,/
TPBJ.O3,"TPBJ 6,50% 2020-2028",20/11/2020,,10 000,52356,"25/08/2022 / 650,00",TPBJ,2020,2028,6.50,25/08/2022,/
TPBJ.O4,"TPBJ 5,50% 2022-2037",20/04/2022,,10 000,15929,"01/03/2023 / 550,00",TPBJ,2022,2037,5.50,01/03/2023,/
TPBJ.O5,"TPBJ 5,85% 2022-2042",20/04/2022,,10 000,16943,"01/03/2023 / 585,00",TPBJ,2022,2042,5.85,01/03/2023,/
TPBJ.O6,"TPBJ 5,75% 2022-2037",11/10/2022,,10 000,50726,"28/07/2022 / 575,00",TPBJ,2022,2037,5.75,28/07/2022,/
TPCI.O10,TPCI 7% 2010-2017,27/01/2011,,10 400,"1 388,52","01/10/2015 / 700,00",TPCI,2010,2017,7,01/10/2015,/
