"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Autriche","AUT","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","31.9788119561105","23.4755906498714","23.1884057971014","23.5716918540361","23.9986868023637","23.3764292653763","22.6403960266204","22.467816371144","22.2134676534317","22.151186579378","21.8138234119057","21.4685817658726","21.3506279596458","21.5825647653175","21.4049993618612","20.9996888934979","20.0964131056459","20.4783685915761","10.1478534528828","10.1906038066069","10.0650836426501","9.80855947706326","9.74931601307916","11.1212654563835","10.9361297159146","10.8927589871684","10.8068910713699","10.9431145786844","10.7880687152629","10.4415250468674","10.3398416959486","10.4346751425704","9.83687323580979","10.9838042913663","11.0747029520093","10.9990117792837","10.9744247871532","10.8296857664858","10.9979511433889","10.7948790203353","10.6463605295193","10.421109614674","10.3326166469434","10.5741285878896","10.6437408450649","10.7748239560552","10.819011317871","10.8470576588586","9.91363510490037","9.79564744188738","9.68769801560497","10.0745827071506","",
"Azerbaïdjan","AZE","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9030815070556","9.92417763772142","11.5316002720573","12.3558809774211","11.8641852449628","","","","","","","","","","18.2742141751363","18.952339223991","17.908275511931","18.3480709483681","14.0336431976682","14.1619233012181","14.9217569981676","14.4182906654995","13.5025436311856","12.1952514335216","16.3404602864393","15.8110418342719","14.688456947001","14.2548525340183","14.2241957542817","","",
"Burundi","BDI","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.7586965632858","33.230052566349","31.0038437472066","33.3606214411759","34.9616358012293","47.8865381181932","38.4337715024996","35.8353182697496","36.8944480751402","","","","","","","","","","","46.6946036249603","45.9891786829631","46.5399961243584","45.427500354529","44.2182645486367","36.4067500728394","41.3183177773393","39.4252678775096","","45.5471298282946","43.4703852348247","48.0932554678187","","","",
"Belgique","BEL","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.01114819996289","6.82030589688577","6.86360346419747","6.81409754553909","6.91972065281486","6.86222218969368","6.85701677972404","7.04397728506955","6.84171647079272","6.70804086786973","6.35644647167874","6.72512559654095","6.62361093255484","6.54371774734855","6.4605943593394","6.32662874893605","6.12071670539024","5.93508361298328","5.992207938826","6.29917064279852","6.40293506079901","6.31919988251577","6.34268743873793","6.20018144320909","6.10137031114273","5.75067705434068","5.74303802240182","5.88449700852498","","",
"Bénin","BEN","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2614619067597","43.9837302219311","42.2136034821062","42.7242901752007","41.4723284044834","41.7422017157259","43.8296453697914","45.7719447604705","46.3845452778601","44.7885727747058","40.1054224500583","43.4110079465476","49.32004714807","50.7502958500526","49.5664610708859","40.8096942850662","45.9536821044829","49.0897162461011","48.4766301526546","43.4561777404263","35.4564179588943","40.7140993624599","",
"Bangladesh","BGD","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2390658485914","26.3816256492539","25.3298882494693","25.4940381487535","23.2145864481078","23.8051449045174","24.8386979135368","20.6081854698453","18.9197308742466","21.2635191464254","21.7714237985969","20.3731629078842","19.2794613515377","21.0143194652078","21.5812729500047","25.1505664238407","29.036078731054","25.988451940825","23.0171441379589","22.4355500503213","20.3154371665602","","","",
"Bulgarie","BGR","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.24399983532996","4.34969772969736","6.24197244818294","5.98759286206632","5.92904986355743","10.1177130044843","7.80536529680365","12.9302400128221","18.9537038188443","18.9644771340402","20.4146096560957","18.3310259225665","19.2474764006971","19.6508700886505","19.6970449818639","19.703786899776","20.1674372897585","18.348637070903","19.6156949724479","19.3548517362387","19.9577002798874","19.9831515657068","19.0976843225978","19.3099653616349","17.1702397544514","18.583992992579","18.3086369218174","18.8089606487612","18.2598423895984","19.6223736441875","19.1762734129051","18.4026827265261","15.9598974627003","18.0169354755868","",
"Bahreïn","BHR","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.4072140484101","61.0800744878957","59.6348012889366","55.2904361431645","54.6348846008324","64.0482208827533","66.7712213291511","66.7710443912323","68.2953116579845","64.8756883030202","58.4488351518726","58.8711970429343","53.6952882085625","59.7767291978363","56.1553722460061","54.3388966379683","53.1497591360661","54.3059676383324","50.2991414830784","46.9254372326882","44.224189229396","41.2729333901849","47.9397327741972","45.5075168103723","44.8687544933166","46.1505680442426","45.7851535916651","45.1605426977627","43.2891951529291","42.2832060282253","39.5044309208303","","","","",
"Bahamas","BHS","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.9724282182924","53.7272225289895","52.6325151191747","55.9369202226345","57.4753804834378","54.936198791135","50.6450144179693","51.5680480439972","52.463422733043","47.8372180924783","42.545377745595","42.9296424452134","43.4052237997182","42.1721721721722","44.0701382653626","42.0798699566582","43.3027620414517","42.5876254626485","41.0421982715036","40.3091228156552","48.0062178658475","44.4031394282477","44.3032497889114","43.9510251379719","45.000321812891","34.7024846865539","32.2452019460436","29.5668558388298","32.6959535590615","29.0380697549359","28.4111768950123","23.607083791536","23.7995480169534","25.9142780855851","",
